Last permanent residence,Total Europe,Great Britain (3),France,Germany,Netherlands,Greece,Italy,Portugal,Other Europe (4),Poland,Total Asia,India,Hong Kong,Vietnam,Philippines,Other Asia,Australasia,"Total United States, West Indies",United States,West Indies (5),All other countries,Africa,Other North and Central America,South America
Q1 2006,8236,1467,1031,578,186,26,81,89,4530,248,34409,7211,99,801,4847,21451,284,3430,2119,1311,84,5186,778,2727
Q2 2006,10126,1857,1379,707,234,36,110,94,5425,284,42338,10002,129,803,4974,26430,352,4152,2632,1520,93,6875,916,3057
Q3 2006,10676,1922,1486,1076,314,34,120,86,5385,253,40970,7416,118,830,3846,28760,363,4821,2789,2032,105,8188,1199,4036
Q4 2006,8907,1610,1019,669,158,42,110,136,4757,406,31810,6126,113,688,4051,20832,349,5280,3403,1877,119,6927,1250,3603
Q1 2007,8192,1605,1053,551,130,46,91,95,4383,238,26893,4904,73,595,3685,17636,336,3633,2104,1529,116,5013,1117,2575
Q2 2007,10007,2078,1491,696,150,55,130,88,5069,250,35671,8326,88,666,5122,21469,363,4383,2488,1895,95,6280,1457,3393
Q3 2007,11455,2535,1714,618,201,51,121,114,5703,398,40813,7632,125,689,5606,26761,419,5480,2997,2483,124,8050,1490,3826
Q4 2007,9351,2267,1270,690,149,37,83,102,4481,272,30011,5198,82,599,4659,19473,377,4914,2864,2050,100,6735,980,3105
Q1 2008,9407,2400,1314,834,224,40,138,147,4001,309,29162,4589,81,442,4037,20013,368,4760,2773,1987,108,5504,1189,2647
Q2 2008,11202,2862,1781,1257,236,63,138,163,4350,352,39851,6789,100,380,7427,25155,444,5723,3319,2404,89,6746,1387,3805
Q3 2008,11245,2684,1804,1190,189,89,139,166,4693,291,41664,6701,86,472,6417,27988,441,5661,2888,2773,107,7255,1389,3550
Q4 2008,8514,1804,1495,782,192,56,132,177,3645,231,30284,6505,84,449,5879,17367,386,4156,2250,1906,117,6591,931,2564
Q1 2009,9041,2251,1452,1009,191,37,149,98,3673,181,28675,5543,82,464,5659,16927,359,3697,2064,1633,84,5494,1048,2385
Q2 2009,11481,2504,2165,1216,206,49,147,166,4708,320,40303,7900,76,489,8803,23035,510,5106,2690,2416,85,7312,1234,3620
Q3 2009,11854,2917,2068,1087,242,51,159,170,4880,280,42789,7318,86,610,7110,27665,546,5296,2494,2802,82,9578,1399,3846
Q4 2009,9512,2417,1629,778,158,68,128,177,3954,203,29429,5412,69,582,5763,17603,424,4614,2496,2118,94,7949,1171,3160
Q1 2010,9427,2514,1441,856,178,38,147,170,3899,184,31818,5277,48,517,6632,19344,448,4353,2324,2029,113,7149,1421,3312
Q2 2010,11378,2948,1907,892,246,45,165,171,4800,204,49312,10450,64,608,10923,27267,500,5040,2520,2520,121,9237,1568,3641
Q3 2010,11744,2937,1953,894,229,48,182,139,5166,196,50736,8615,68,409,10729,30915,452,5280,2202,3078,110,11131,1686,3153
Q4 2010,8309,1864,1648,555,150,105,137,129,3578,143,32542,5969,43,366,8367,17797,354,5076,2217,2859,110,8010,1027,2124
Q1 2011,7028,1518,1355,542,121,41,143,107,3063,138,28902,4331,55,349,7519,16648,338,4007,1819,2188,94,6162,958,2079
Q2 2011,8861,2152,1510,651,201,45,155,131,3839,177,40290,7227,70,387,9447,23159,361,5433,2383,3050,89,8362,1506,2792
Q3 2011,8781,2022,1533,619,151,38,154,123,3965,176,43419,7268,69,428,10148,25506,387,5526,2290,3236,113,9087,1587,2976
Q4 2011,7640,1535,1480,446,156,39,121,145,3550,168,34340,6190,74,522,7949,19605,373,5722,2355,3367,74,7692,1469,2298
Q1 2012,7962,1791,1669,492,120,37,154,157,3369,173,32566,6259,88,408,7159,18652,419,4648,2109,2539,69,6235,1400,2288
Q2 2012,9883,1994,2388,610,148,33,158,164,4212,176,42854,8753,131,520,9874,23576,489,6362,3036,3326,99,9168,1562,2627
Q3 2012,9024,1770,2198,456,155,71,153,110,3966,145,38111,7127,126,357,7830,22671,437,5100,2127,2973,85,10143,1520,2507
Q4 2012,8455,1722,1902,336,107,70,148,93,3867,210,36162,6871,115,422,7967,20787,408,5182,2164,3018,141,8815,1347,1824
Q1 2013,7648,1382,1779,251,84,138,195,113,3546,160,34858,6723,84,370,6629,21052,371,4923,2311,2612,109,7219,1205,1913
Q2 2013,9235,1803,2036,273,138,126,267,184,4199,209,45580,10701,123,510,8428,25818,445,5572,2663,2909,215,10308,1385,2700
